City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket,Predicted_AQI,AQI_Category
Kolkata,2015-04-19,419.7,294.8,74.5,109.8,196.1,33.8,8.4,52.5,86.4,244.8,Poor,244.80900000000054,Poor
Bangalore,2015-04-19,431.0,350.1,137.9,15.2,155.1,8.9,3.51,12.7,81.2,118.7,Moderate,146.56850000000034,Moderate
Delhi,2015-04-20,188.2,460.0,90.9,96.9,164.1,14.0,5.18,100.0,37.3,442.6,Severe,442.17049999999983,Severe
Mumbai,2015-04-20,424.6,590.4,96.6,133.3,118.6,34.0,8.0,11.8,87.2,174.9,Moderate,174.92300000000034,Moderate
Chennai,2015-04-20,275.7,17.5,102.3,122.4,34.3,46.5,0.75,79.2,189.3,425.7,Severe,425.7309999999988,Severe
Kolkata,2015-04-20,380.5,335.1,94.2,116.1,202.0,4.6,9.86,78.5,11.3,285.1,Poor,284.35349999999966,Poor
Bangalore,2015-04-20,140.6,23.5,117.6,20.8,231.9,16.1,3.08,79.7,169.6,316.0,Very Poor,316.00499999999994,Very Poor
Delhi,2015-04-21,338.0,277.2,3.8,105.4,82.8,42.1,0.61,15.9,135.2,488.0,Severe,488.028,Severe
Mumbai,2015-04-21,337.8,113.0,144.7,18.0,231.5,37.8,8.68,86.9,137.8,487.8,Severe,487.784000000001,Severe
Chennai,2015-04-21,428.2,308.2,149.2,68.0,144.4,19.2,7.55,66.5,32.1,258.2,Poor,258.19499999999954,Poor
Kolkata,2015-04-21,358.2,219.9,172.8,94.3,172.6,24.1,7.55,4.5,136.6,180.0,Moderate,179.3345000000001,Moderate
Bangalore,2015-04-21,2.7,68.2,28.5,66.1,152.5,0.6,8.01,98.5,144.2,175.1,Moderate,175.32299999999958,Moderate
Delhi,2015-04-22,398.5,464.4,64.5,18.8,105.5,6.3,1.28,76.1,68.3,448.9,Severe,448.95199999999966,Severe
Mumbai,2015-04-22,377.1,521.0,153.1,100.6,47.0,44.5,6.7,93.5,12.5,158.6,Moderate,158.6809999999996,Moderate
Chennai,2015-04-22,459.9,193.7,141.3,112.7,124.9,38.0,8.07,18.9,121.0,175.8,Moderate,175.88199999999983,Moderate
Kolkata,2015-04-22,211.4,39.6,126.4,20.3,230.3,23.2,8.33,90.5,131.3,370.4,Very Poor,370.4215000000003,Very Poor
Bangalore,2015-04-22,246.3,114.3,120.0,10.6,160.4,12.5,9.33,3.9,84.5,397.2,Very Poor,397.1854999999988,Very Poor
Delhi,2015-04-23,124.2,242.7,20.9,87.0,128.4,46.3,3.85,80.9,98.8,303.5,Very Poor,303.4014999999999,Very Poor
Mumbai,2015-04-23,395.4,181.9,92.5,2.4,180.2,11.3,5.47,68.0,93.8,154.8,Moderate,154.7704999999996,Moderate
Chennai,2015-04-23,59.7,451.6,11.6,8.6,101.5,15.4,3.68,95.5,167.8,430.6,Severe,430.62100000000027,Severe
Kolkata,2015-04-23,176.4,503.9,194.3,52.8,165.5,45.8,0.73,96.9,87.8,343.5,Very Poor,343.5634999999997,Very Poor
Bangalore,2015-04-23,491.5,415.3,136.8,11.8,225.2,36.6,7.74,15.4,107.2,381.6,Very Poor,381.6064999999997,Very Poor
Delhi,2015-04-24,287.7,513.2,48.5,108.1,178.3,22.0,2.97,61.1,6.3,437.7,Severe,437.64599999999905,Severe
Mumbai,2015-04-24,121.9,260.9,100.6,115.9,78.5,45.4,0.43,53.1,194.0,301.7,Very Poor,301.7274999999994,Very Poor
Chennai,2015-04-24,68.3,350.4,50.9,81.9,214.7,28.7,1.57,22.2,175.5,217.5,Poor,207.68650000000005,Poor
Kolkata,2015-04-24,177.1,519.7,142.6,141.4,240.2,34.7,5.43,68.9,15.8,344.1,Very Poor,344.04299999999967,Very Poor
Bangalore,2015-04-24,466.5,303.7,80.6,129.7,84.6,5.0,8.77,63.9,14.1,253.7,Poor,253.6764999999996,Poor
Delhi,2015-04-25,204.1,11.7,127.3,10.2,242.0,18.0,6.0,51.3,42.1,364.8,Very Poor,364.7790000000008,Very Poor
Mumbai,2015-04-25,321.9,467.8,20.1,121.6,4.2,41.4,0.19,98.9,141.0,471.9,Severe,472.24449999999933,Severe
Chennai,2015-04-25,65.9,83.2,155.1,121.5,238.7,26.8,1.29,49.2,47.2,141.5,Moderate,141.86299999999997,Moderate
Kolkata,2015-04-25,58.5,0.2,133.5,109.2,37.2,37.6,8.29,21.5,116.6,178.6,Moderate,178.78599999999958,Moderate
Bangalore,2015-04-25,104.3,538.7,57.4,70.5,216.6,28.5,4.32,66.3,72.7,246.4,Poor,246.30950000000033,Poor
Delhi,2015-04-26,106.1,41.4,179.2,16.0,2.1,0.1,8.81,59.1,195.2,267.5,Poor,254.69300000000032,Poor
Mumbai,2015-04-26,472.5,313.0,173.8,112.4,9.1,4.8,1.01,84.8,96.1,263.0,Poor,262.76049999999987,Poor
Chennai,2015-04-26,400.2,231.7,167.1,44.1,9.3,21.8,9.51,60.0,63.9,193.9,Moderate,194.08700000000042,Moderate
Kolkata,2015-04-26,157.9,523.1,163.1,83.0,125.8,13.5,2.69,17.0,71.5,329.3,Very Poor,329.25949999999966,Very Poor
Bangalore,2015-04-26,285.2,420.5,9.4,7.8,12.5,17.0,0.57,8.6,54.1,435.2,Severe,435.1924999999992,Severe
Delhi,2015-04-27,354.9,508.9,67.4,68.5,186.3,49.5,9.3,51.0,12.5,191.2,Moderate,191.31150000000022,Moderate
Mumbai,2015-04-27,225.3,332.6,170.9,100.7,166.0,20.7,4.31,34.0,10.1,381.0,Very Poor,380.99800000000005,Very Poor
Chennai,2015-04-27,420.0,280.0,23.1,89.5,244.8,47.7,3.9,45.2,199.9,279.4,Poor,279.3290000000007,Poor
Kolkata,2015-04-27,166.8,276.2,190.5,125.5,53.8,36.5,1.28,39.2,151.6,336.1,Very Poor,336.0939999999992,Very Poor
Bangalore,2015-04-27,18.2,554.7,85.6,48.9,107.3,40.1,8.76,68.2,48.6,184.5,Moderate,184.60899999999998,Moderate
Delhi,2015-04-28,173.6,196.2,58.0,145.9,235.4,0.4,8.03,78.5,45.2,341.4,Very Poor,341.36550000000074,Very Poor
Mumbai,2015-04-28,226.9,33.6,92.7,46.2,83.9,10.9,3.11,73.5,174.6,382.3,Very Poor,382.23299999999966,Very Poor
Chennai,2015-04-28,179.4,419.3,72.4,67.0,47.8,45.3,4.08,11.5,170.6,386.6,Very Poor,386.616,Very Poor
Kolkata,2015-04-28,157.2,496.1,178.1,4.3,231.1,43.7,5.83,2.5,199.5,494.4,Severe,494.37999999999926,Severe
Bangalore,2015-04-28,270.6,433.1,169.6,103.8,20.5,14.2,5.84,77.9,79.7,420.6,Severe,420.699,Severe
Delhi,2015-04-29,82.8,532.4,56.9,5.9,123.9,30.1,8.95,99.6,13.4,186.8,Moderate,187.07449999999974,Moderate
Mumbai,2015-04-29,120.3,40.8,65.6,90.3,234.8,11.4,3.26,51.7,96.8,115.5,Moderate,144.59250000000014,Moderate
Chennai,2015-04-29,134.5,26.8,136.8,60.4,226.6,0.4,4.11,24.7,24.1,311.4,Very Poor,311.41300000000086,Very Poor
Kolkata,2015-04-29,284.5,269.8,5.2,118.7,194.7,16.9,4.59,40.9,103.4,434.5,Severe,434.5405,Severe
Bangalore,2015-04-29,328.3,14.8,166.2,121.0,44.2,42.4,4.29,39.4,141.0,478.3,Severe,478.2820000000013,Severe
Delhi,2015-04-30,334.1,351.2,25.0,68.0,47.4,0.0,1.69,19.9,27.9,484.1,Severe,484.94650000000104,Severe
Mumbai,2015-04-30,317.2,426.0,59.5,70.9,245.6,7.8,8.76,8.9,77.3,467.2,Severe,467.19599999999843,Severe
Chennai,2015-04-30,217.0,31.3,185.6,37.0,171.3,4.7,7.77,69.8,169.4,374.7,Very Poor,374.69949999999875,Very Poor
Kolkata,2015-04-30,271.9,465.4,96.5,110.3,121.2,24.9,4.93,55.4,63.7,450.4,Severe,450.2294999999994,Severe
Bangalore,2015-04-30,326.2,133.9,0.8,103.5,170.8,36.9,9.63,96.1,143.9,476.2,Severe,477.7804999999991,Severe
Delhi,2015-05-01,176.8,97.0,57.0,133.9,193.2,48.1,5.01,4.5,66.4,343.8,Very Poor,343.78500000000093,Very Poor
Mumbai,2015-05-01,308.9,272.0,182.1,70.8,225.8,15.5,1.22,57.8,169.7,458.9,Severe,458.90949999999975,Severe
Chennai,2015-05-01,309.6,165.9,30.6,84.1,34.8,7.8,7.75,10.3,136.6,459.6,Severe,459.5775000000007,Severe
Kolkata,2015-05-01,393.2,502.7,72.2,48.6,83.9,15.9,0.85,34.2,99.9,99.9,Satisfactory,97.90750000000006,Satisfactory
Bangalore,2015-05-01,55.2,545.8,145.9,144.7,132.1,49.6,4.96,67.8,81.6,164.7,Moderate,164.53500000000028,Moderate
Delhi,2015-05-02,117.2,560.8,172.4,92.5,122.5,36.3,9.82,19.9,148.1,290.4,Poor,290.16000000000065,Poor
Mumbai,2015-05-02,415.8,313.8,117.1,46.8,14.9,18.8,6.66,72.8,72.3,263.8,Poor,263.80000000000024,Poor
Chennai,2015-05-02,167.2,306.3,150.7,35.1,219.1,12.4,5.93,51.1,60.4,336.5,Very Poor,336.48500000000007,Very Poor
Kolkata,2015-05-02,297.3,258.7,135.1,145.8,218.2,36.9,3.91,95.3,158.0,447.3,Severe,447.55100000000084,Severe
Bangalore,2015-05-02,144.9,473.6,36.9,85.0,88.3,27.7,3.84,35.9,104.2,462.1,Severe,462.05650000000077,Severe
Delhi,2015-05-03,179.5,469.2,176.0,21.5,237.8,20.7,9.15,46.6,167.0,455.8,Severe,455.6795000000009,Severe
Mumbai,2015-05-03,461.2,276.0,158.0,143.9,127.6,44.3,8.2,74.7,103.7,226.0,Poor,225.687,Poor
Chennai,2015-05-03,234.3,55.4,137.5,69.7,102.5,5.7,6.65,43.0,50.5,388.0,Very Poor,387.9990000000001,Very Poor
Kolkata,2015-05-03,324.8,369.1,83.6,10.7,4.3,44.5,9.93,80.2,83.7,474.8,Severe,475.10950000000105,Severe
Bangalore,2015-05-03,267.7,205.7,49.9,97.4,47.2,49.8,1.4,0.1,173.8,417.7,Severe,417.6934999999991,Severe
Delhi,2015-05-04,404.1,486.1,55.7,124.6,73.6,40.2,0.11,83.1,99.4,480.1,Severe,480.1160000000011,Severe
Mumbai,2015-05-04,0.7,352.5,173.3,97.8,121.4,42.4,1.94,66.5,2.1,302.9,Very Poor,302.86900000000065,Very Poor
Chennai,2015-05-04,168.9,523.1,193.9,92.5,64.1,7.7,1.62,83.6,174.7,337.8,Very Poor,337.4734999999996,Very Poor
Kolkata,2015-05-04,105.6,193.0,23.0,81.0,172.0,20.1,3.06,52.0,26.8,250.8,Poor,250.70350000000062,Poor
Bangalore,2015-05-04,498.7,77.3,83.4,114.3,102.6,49.6,0.79,39.4,174.7,215.5,Poor,215.50349999999995,Poor
Delhi,2015-05-05,175.1,295.2,72.9,76.2,3.9,36.9,5.23,11.7,193.2,342.5,Very Poor,342.4915000000001,Very Poor
Mumbai,2015-05-05,35.2,426.1,65.5,74.1,102.9,18.9,8.33,99.4,81.2,395.1,Very Poor,395.0319999999998,Very Poor
Chennai,2015-05-05,168.4,532.3,78.2,4.4,20.9,16.4,2.98,44.6,187.8,337.4,Very Poor,337.5010000000004,Very Poor
Kolkata,2015-05-05,468.5,339.5,114.8,88.8,246.2,20.1,3.75,28.3,23.7,289.5,Poor,289.515,Poor
Bangalore,2015-05-05,449.4,173.3,59.0,22.7,172.9,33.2,3.47,27.3,27.7,149.0,Moderate,149.56950000000006,Moderate
Delhi,2015-05-06,20.7,343.3,59.7,18.5,89.4,35.6,3.94,18.4,37.6,293.3,Poor,293.3340000000008,Poor
Mumbai,2015-05-06,89.1,521.1,52.7,89.8,248.3,2.0,3.1,80.1,61.6,196.9,Moderate,186.05400000000043,Moderate
Chennai,2015-05-06,283.8,205.2,136.0,50.0,218.0,28.5,9.16,69.5,132.6,433.8,Severe,433.81600000000117,Severe
Kolkata,2015-05-06,418.2,50.4,87.7,132.3,173.8,30.7,2.79,5.6,74.9,152.3,Moderate,152.33899999999974,Moderate
Bangalore,2015-05-06,436.4,105.4,46.1,85.0,5.5,45.2,8.36,2.3,170.4,204.6,Poor,203.05049999999946,Poor
Delhi,2015-05-07,415.6,50.8,17.4,146.9,94.9,15.7,0.43,56.0,127.8,166.9,Moderate,166.80150000000037,Moderate
Mumbai,2015-05-07,71.0,72.0,84.8,98.0,84.6,32.9,0.68,47.6,112.5,135.1,Moderate,136.0224999999997,Moderate
Chennai,2015-05-07,242.9,533.4,34.5,94.5,170.5,12.7,3.07,26.2,79.7,394.6,Very Poor,394.6450000000001,Very Poor
Kolkata,2015-05-07,412.1,232.7,165.2,11.9,0.6,1.0,8.76,19.0,38.0,188.5,Moderate,188.27849999999995,Moderate
Bangalore,2015-05-07,171.6,370.3,1.0,100.5,189.7,35.8,8.12,77.1,93.6,339.8,Very Poor,340.17750000000103,Very Poor
Delhi,2015-05-08,124.7,197.1,81.6,26.0,117.4,12.2,9.5,93.5,38.1,303.8,Very Poor,303.8120000000001,Very Poor
Mumbai,2015-05-08,319.8,190.8,2.1,98.0,38.1,20.7,7.99,52.8,16.9,469.8,Severe,469.82450000000097,Severe
Chennai,2015-05-08,239.3,516.0,71.0,5.6,166.1,39.4,3.06,81.2,182.5,391.8,Very Poor,391.820000000001,Very Poor
Kolkata,2015-05-08,460.6,227.9,152.4,104.2,209.7,31.6,0.06,2.1,176.8,220.8,Poor,220.60250000000008,Poor
Bangalore,2015-05-08,285.6,330.8,123.5,122.6,66.6,12.6,0.81,98.7,51.6,435.6,Severe,435.5875000000006,Severe
Delhi,2015-05-09,87.0,122.6,182.4,66.2,20.7,40.5,8.11,51.7,162.3,191.6,Moderate,192.2589999999999,Moderate
Mumbai,2015-05-09,455.1,291.9,12.8,6.4,190.7,36.2,9.35,16.1,3.5,241.9,Poor,242.26000000000073,Poor
Chennai,2015-05-09,428.3,53.2,66.6,37.9,51.6,14.8,8.57,16.7,101.6,182.1,Moderate,182.1104999999994,Moderate
Kolkata,2015-05-09,405.8,436.0,18.7,12.4,174.3,33.0,7.03,85.7,191.0,408.2,Severe,408.11899999999883,Severe
Bangalore,2015-05-09,25.4,76.7,9.6,27.6,205.2,33.1,1.8,48.5,177.8,223.3,Poor,223.18450000000027,Poor
Delhi,2015-05-10,23.0,330.4,45.4,135.5,157.2,14.3,0.06,55.3,25.3,280.4,Poor,280.3855000000004,Poor
Mumbai,2015-05-10,252.6,2.7,110.4,40.8,40.0,49.0,1.37,77.9,124.3,402.6,Severe,402.5995000000002,Severe
Chennai,2015-05-10,273.9,182.3,145.0,134.7,55.9,15.4,3.58,69.0,58.2,423.9,Severe,423.90599999999955,Severe
Kolkata,2015-05-10,89.6,586.3,29.2,114.6,55.2,13.3,7.03,18.5,28.3,198.6,Moderate,192.80399999999966,Moderate
Bangalore,2015-05-10,285.4,436.6,16.8,100.3,141.7,39.9,3.13,13.2,67.1,435.4,Severe,435.39549999999946,Severe
Delhi,2015-05-11,65.1,95.2,177.9,107.8,67.9,15.8,1.13,20.1,47.5,127.8,Moderate,127.16549999999967,Moderate
Mumbai,2015-05-11,292.0,135.9,166.6,2.0,65.1,42.5,4.69,75.0,194.6,442.0,Severe,442.0720000000008,Severe
Chennai,2015-05-11,344.4,379.3,92.3,7.5,219.3,8.1,4.15,87.5,46.7,494.4,Severe,494.39949999999925,Severe
Kolkata,2015-05-11,398.0,84.4,178.4,20.3,39.7,5.1,6.86,23.1,36.4,160.7,Moderate,160.7595000000001,Moderate
Bangalore,2015-05-11,264.2,144.3,180.6,147.1,191.3,40.6,2.59,65.5,122.5,414.2,Severe,414.2004999999985,Severe
Delhi,2015-05-12,83.8,431.4,8.9,118.0,8.9,6.9,1.34,62.5,16.5,401.6,Severe,401.81350000000003,Severe
Mumbai,2015-05-12,44.3,317.8,135.5,17.3,26.6,31.3,1.79,39.8,179.5,267.8,Poor,268.20300000000054,Poor
Chennai,2015-05-12,101.0,265.7,32.7,144.2,81.7,6.3,8.21,39.4,173.0,235.1,Poor,234.20650000000012,Poor
Kolkata,2015-05-12,451.8,546.7,83.4,116.4,187.6,29.7,1.98,68.7,11.3,136.4,Moderate,136.96900000000034,Moderate
Bangalore,2015-05-12,474.4,433.0,138.0,56.1,45.7,47.2,9.0,95.2,41.3,403.9,Severe,403.68699999999984,Severe
Delhi,2015-05-13,336.9,380.5,183.2,70.8,30.1,1.2,2.63,49.2,195.2,486.9,Severe,486.9029999999991,Severe
Mumbai,2015-05-13,149.9,472.5,31.0,13.9,79.7,36.2,0.43,92.7,89.0,460.5,Severe,460.5885,Severe
Chennai,2015-05-13,208.1,225.9,118.6,28.1,134.1,5.0,7.4,71.8,92.9,367.8,Very Poor,367.7985000000013,Very Poor
Kolkata,2015-05-13,7.0,409.3,114.5,21.1,51.1,35.5,0.89,25.1,137.8,374.1,Very Poor,374.17900000000003,Very Poor
Bangalore,2015-05-13,260.6,471.1,197.0,136.5,112.7,6.4,5.0,35.7,46.4,458.5,Severe,458.92100000000045,Severe
Delhi,2015-05-14,315.5,17.8,93.0,52.9,186.7,16.1,3.63,36.0,172.2,465.5,Severe,465.46349999999984,Severe
Mumbai,2015-05-14,324.1,478.0,35.9,1.3,239.5,42.6,4.58,17.1,166.0,474.1,Severe,474.57150000000087,Severe
Chennai,2015-05-14,417.8,429.1,198.0,30.2,196.6,42.4,1.28,72.9,116.3,398.9,Very Poor,398.88049999999953,Very Poor
Kolkata,2015-05-14,356.3,371.3,23.3,18.0,206.1,11.9,1.44,0.8,179.3,326.4,Very Poor,326.49600000000044,Very Poor
Bangalore,2015-05-14,354.6,582.1,72.1,120.8,238.4,47.3,2.28,76.2,185.0,241.6,Poor,241.53049999999936,Poor
Delhi,2015-05-15,151.4,186.4,66.0,46.6,179.9,15.2,7.97,28.0,132.7,324.3,Very Poor,324.2980000000009,Very Poor
Mumbai,2015-05-15,486.2,580.5,113.7,41.1,64.4,7.3,5.71,29.6,116.5,146.2,Moderate,146.75950000000037,Moderate
Chennai,2015-05-15,310.4,390.6,123.7,62.5,13.2,2.5,9.21,70.1,45.6,460.4,Severe,460.73499999999933,Severe
Kolkata,2015-05-15,162.0,337.7,168.4,31.0,242.1,0.9,4.63,26.1,195.0,332.5,Very Poor,332.7215000000004,Very Poor
Bangalore,2015-05-15,14.5,529.5,177.6,40.6,21.9,36.0,0.11,16.9,26.9,26.9,Good,49.06399999999988,Good
Delhi,2015-05-16,373.4,507.4,30.2,4.5,130.2,47.5,9.97,7.7,123.4,199.6,Moderate,199.5074999999996,Moderate
Mumbai,2015-05-16,9.1,470.8,109.2,57.7,40.7,41.1,2.87,9.4,47.7,458.1,Severe,457.94900000000024,Severe
Chennai,2015-05-16,308.8,499.6,101.7,131.6,1.5,40.5,0.01,28.4,168.6,499.4,Severe,490.4124999999992,Severe
Kolkata,2015-05-16,78.2,88.7,172.4,28.9,128.8,3.3,7.53,64.1,199.1,277.4,Poor,277.5825000000005,Poor
Bangalore,2015-05-16,470.5,53.0,131.7,58.5,243.8,13.9,8.38,8.8,52.6,179.7,Moderate,179.62900000000025,Moderate
Delhi,2015-05-17,26.8,70.1,170.8,143.8,148.2,20.5,6.43,40.9,156.6,183.2,Moderate,183.4635000000001,Moderate
Mumbai,2015-05-17,49.1,538.6,153.3,107.6,68.2,15.7,7.41,34.4,7.4,167.5,Moderate,168.15949999999998,Moderate
Chennai,2015-05-17,471.6,76.4,163.7,86.7,69.0,42.6,8.36,29.1,35.1,179.4,Moderate,179.4125000000005,Moderate
Kolkata,2015-05-17,22.7,207.5,167.0,21.3,204.3,35.4,7.07,92.0,153.8,179.0,Moderate,178.14799999999988,Moderate
Bangalore,2015-05-17,107.2,465.9,146.5,146.8,38.4,19.7,1.25,96.6,38.1,451.1,Severe,451.12150000000065,Severe
Delhi,2015-05-18,379.6,191.1,151.0,93.5,241.2,34.3,8.24,11.6,97.4,177.9,Moderate,177.99450000000047,Moderate
Mumbai,2015-05-18,475.0,192.4,112.3,80.5,50.1,34.1,9.55,40.2,27.8,194.4,Moderate,194.44100000000054,Moderate
Chennai,2015-05-18,483.4,54.3,34.5,73.6,241.0,1.4,0.1,39.4,69.4,92.0,Satisfactory,92.37849999999997,Satisfactory
Kolkata,2015-05-18,24.5,218.8,157.5,76.2,95.4,9.5,4.41,8.8,109.6,179.3,Moderate,179.3464999999998,Moderate
Bangalore,2015-05-18,137.5,446.2,42.2,113.9,77.1,28.8,6.57,40.4,177.3,422.8,Severe,422.88300000000095,Severe
Delhi,2015-05-19,259.9,594.2,65.0,45.2,212.0,47.3,4.35,7.9,24.0,409.9,Severe,409.93399999999986,Severe
Mumbai,2015-05-19,49.6,150.5,5.9,88.0,202.5,8.7,5.53,51.0,153.5,178.6,Moderate,178.92999999999952,Moderate
Chennai,2015-05-19,120.6,498.4,74.4,104.3,201.1,28.0,2.37,68.1,156.2,497.7,Severe,497.6754999999989,Severe
Kolkata,2015-05-19,18.3,409.8,143.0,72.8,149.8,2.4,2.92,5.7,164.4,374.7,Very Poor,374.74099999999913,Very Poor
Bangalore,2015-05-19,58.5,505.1,89.9,66.6,158.9,25.0,1.11,68.0,59.9,97.5,Satisfactory,101.6155,Moderate
Delhi,2015-05-20,243.1,95.7,116.2,121.4,135.7,20.4,8.6,4.7,41.4,394.7,Very Poor,394.68949999999876,Very Poor
Mumbai,2015-05-20,217.5,477.4,77.5,132.5,26.6,6.3,0.5,17.4,148.3,467.6,Severe,467.7925000000006,Severe
Chennai,2015-05-20,470.2,61.3,24.7,51.4,11.5,30.8,3.59,58.7,118.8,127.3,Moderate,126.66499999999971,Moderate
Kolkata,2015-05-20,73.5,180.3,52.2,101.6,83.9,46.5,7.55,13.4,54.9,169.3,Moderate,169.64449999999985,Moderate
Bangalore,2015-05-20,302.6,440.2,189.1,64.9,246.5,31.5,5.94,62.2,123.5,452.6,Severe,453.0080000000006,Severe
Delhi,2015-05-21,55.1,590.8,68.9,60.4,82.4,3.8,6.13,51.0,185.9,243.9,Poor,241.82800000000015,Poor
Mumbai,2015-05-21,433.3,590.5,79.4,33.1,181.8,21.7,4.01,75.2,93.1,124.9,Moderate,125.44850000000017,Moderate
Chennai,2015-05-21,496.8,177.5,54.6,82.2,106.4,31.7,6.43,18.3,10.3,155.3,Moderate,155.2399999999996,Moderate
Kolkata,2015-05-21,471.9,114.1,85.7,141.8,195.0,12.3,6.8,16.2,90.9,161.8,Moderate,161.40349999999967,Moderate
Bangalore,2015-05-21,427.6,544.6,111.3,21.4,224.4,12.8,4.82,59.7,128.8,142.1,Moderate,140.79349999999982,Moderate
Delhi,2015-05-22,202.6,27.3,51.8,26.6,214.7,20.0,9.05,7.5,31.6,363.6,Very Poor,363.94049999999993,Very Poor
Mumbai,2015-05-22,195.8,342.9,15.0,106.2,232.0,25.1,7.91,51.2,102.7,358.4,Very Poor,358.39850000000047,Very Poor
Chennai,2015-05-22,149.8,143.8,168.3,97.8,71.4,49.7,1.4,99.3,124.2,323.1,Very Poor,323.05499999999944,Very Poor
Kolkata,2015-05-22,315.6,388.5,67.4,87.9,72.8,37.8,1.35,34.7,53.5,465.6,Severe,465.5780000000002,Severe
Bangalore,2015-05-22,209.4,196.1,30.9,13.1,174.1,26.8,6.47,17.9,72.9,368.8,Very Poor,368.80100000000124,Very Poor
Delhi,2015-05-23,315.6,534.9,14.6,13.3,162.4,47.4,7.84,30.3,166.5,465.6,Severe,466.1000000000006,Severe
Mumbai,2015-05-23,18.8,518.6,9.8,49.5,36.7,49.4,6.61,1.3,21.4,157.5,Moderate,157.90999999999988,Moderate
Chennai,2015-05-23,83.2,158.6,66.7,118.1,200.9,1.1,7.6,62.8,154.1,179.5,Moderate,180.3495,Moderate
Kolkata,2015-05-23,221.8,115.6,196.5,7.2,65.1,13.0,1.59,77.7,87.9,378.4,Very Poor,378.4030000000002,Very Poor
Bangalore,2015-05-23,23.4,298.2,134.7,147.6,151.5,44.3,2.51,8.1,150.6,248.2,Poor,248.2324999999996,Poor
Delhi,2015-05-24,293.9,406.7,72.7,98.9,101.1,7.0,7.48,12.2,177.4,443.9,Severe,443.9019999999995,Severe
Mumbai,2015-05-24,410.4,324.7,65.1,26.1,0.7,17.3,1.45,76.9,162.2,274.7,Poor,274.73449999999946,Poor
Chennai,2015-05-24,138.7,496.9,73.1,7.6,224.8,10.4,5.44,91.1,2.1,495.6,Severe,495.641500000001,Severe
Kolkata,2015-05-24,480.3,551.1,83.2,41.7,238.2,42.3,0.49,43.0,53.2,53.5,Satisfactory,60.67549999999999,Satisfactory
Bangalore,2015-05-24,30.4,54.7,24.0,47.1,79.0,0.3,8.16,99.1,90.2,176.9,Moderate,176.98450000000048,Moderate
Delhi,2015-05-25,98.2,87.4,17.7,118.3,167.1,27.9,0.11,2.3,130.2,225.6,Poor,225.47449999999958,Poor
Mumbai,2015-05-25,447.4,364.0,44.4,76.4,142.1,42.8,4.52,28.7,49.1,317.3,Very Poor,317.30050000000097,Very Poor
Chennai,2015-05-25,364.1,176.7,94.7,113.7,62.8,9.4,8.26,39.0,142.4,178.2,Moderate,178.25700000000015,Moderate
Kolkata,2015-05-25,248.5,183.5,29.4,121.7,153.7,15.2,6.6,42.3,108.0,398.8,Very Poor,398.80550000000125,Very Poor
Bangalore,2015-05-25,346.8,589.5,75.4,53.4,91.0,40.4,1.82,37.5,144.4,496.8,Severe,496.7995000000012,Severe
Delhi,2015-05-26,435.5,477.0,138.2,33.3,51.9,6.2,7.02,27.9,125.9,467.0,Severe,467.0420000000004,Severe
Mumbai,2015-05-26,437.0,16.5,159.1,35.9,212.3,21.2,6.62,32.3,154.4,179.9,Moderate,179.74300000000048,Moderate
Chennai,2015-05-26,73.9,341.6,125.5,127.1,198.6,25.5,9.4,31.3,192.5,291.6,Poor,291.5649999999991,Poor
Kolkata,2015-05-26,281.6,567.7,101.1,58.6,7.8,33.6,8.88,77.7,171.6,431.6,Severe,431.53950000000054,Severe
Bangalore,2015-05-26,350.2,197.1,191.8,100.9,39.1,12.7,7.79,69.7,21.7,172.3,Moderate,178.13800000000018,Moderate
Delhi,2015-05-27,285.5,493.1,43.6,79.8,31.4,11.0,5.25,47.2,5.3,490.1,Severe,490.1785000000011,Severe
Mumbai,2015-05-27,332.4,251.1,146.8,3.8,83.4,7.7,1.75,6.7,27.1,482.4,Severe,482.3864999999994,Severe
Chennai,2015-05-27,464.9,110.3,17.9,103.0,157.1,7.5,0.93,81.0,189.4,252.8,Poor,252.70850000000053,Poor
Kolkata,2015-05-27,92.8,415.2,43.5,115.2,45.7,33.9,0.8,58.8,43.0,381.5,Very Poor,381.5354999999997,Very Poor
Bangalore,2015-05-27,468.9,556.6,26.9,84.1,221.5,44.5,1.14,13.4,116.6,124.1,Moderate,121.39849999999984,Moderate
Delhi,2015-05-28,265.1,107.5,136.1,85.7,208.5,15.3,8.04,10.9,178.1,415.1,Severe,415.18099999999924,Severe
Mumbai,2015-05-28,253.5,13.8,149.5,50.0,210.6,7.2,6.01,64.7,148.9,403.5,Severe,403.4970000000001,Severe
Chennai,2015-05-28,260.0,580.1,73.0,45.9,1.4,36.8,6.71,80.3,117.4,410.0,Severe,409.93000000000006,Severe
Kolkata,2015-05-28,94.8,290.7,95.5,16.4,24.6,10.3,7.5,47.5,106.9,240.7,Poor,240.62249999999958,Poor
Bangalore,2015-05-28,462.3,111.8,83.3,71.1,62.5,33.3,6.51,66.6,59.7,156.3,Moderate,156.31599999999963,Moderate
Delhi,2015-05-29,101.5,257.0,120.0,116.7,29.6,34.9,2.01,8.5,22.0,236.8,Poor,236.2930000000004,Poor
Mumbai,2015-05-29,56.4,315.1,134.3,12.4,223.8,28.8,0.17,42.5,154.0,265.1,Poor,265.2214999999994,Poor
